geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0043209	myelin sheath	http://amigo.geneontology.org/amigo/term/GO:0043209	43	3	0.0965846915855555	31.0608228980322	1.2150454887205442e-4	0.3887451211788704	2824;5339;256987	geneontology_Cellular_Component_noRedundant	GPM6B;SERINC5;PLEC
R-HSA-425986	Sodium/Proton exchangers	http://reactome.org/PathwayBrowser/#/R-HSA-425986	9	2	0.02021540056441859	98.93447293447294	1.7522881279191814e-4	0.3887451211788704	10479;84679	pathway_Reactome	SLC9A7;SLC9A6
GO:0007272	ensheathment of neurons	http://amigo.geneontology.org/amigo/term/GO:0007272	155	4	0.34815412083165354	11.489164598842018	3.939890638195906e-4	0.5827098253891745	1191;2824;5339;256987	geneontology_Biological_Process_noRedundant	GPM6B;CLU;SERINC5;PLEC
GO:0042063	gliogenesis	http://amigo.geneontology.org/amigo/term/GO:0042063	339	5	0.7614467545931003	6.566447318659708	9.19452963031365e-4	0.8009191371043027	1191;2824;4774;5339;8613	geneontology_Biological_Process_noRedundant	GPM6B;CLU;PLPP3;NFIA;PLEC
hsa04260	Cardiac muscle contraction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04260+10479+477+84679	87	3	0.19541553878937973	15.351900972590627	9.747501012290512e-4	0.8009191371043027	10479;477;84679	pathway_KEGG	ATP1A2;SLC9A7;SLC9A6
GO:0031032	actomyosin structure organization	http://amigo.geneontology.org/amigo/term/GO:0031032	203	4	0.4559695905085527	8.772514841480358	0.001083054952135636	0.8009191371043027	961;5339;8826;114822	geneontology_Biological_Process_noRedundant	IQGAP1;RHPN1;PLEC;CD47
GO:0006813	potassium ion transport	http://amigo.geneontology.org/amigo/term/GO:0006813	232	4	0.5211081034383459	7.675950486295314	0.0017701477548513528	1	477;2273;10479;84679	geneontology_Biological_Process_noRedundant	ATP1A2;FHL1;SLC9A7;SLC9A6
GO:0034329	cell junction assembly	http://amigo.geneontology.org/amigo/term/GO:0034329	445	5	0.9995392501295859	5.002304811293575	0.0030357213216809053	1	2824;4038;5339;79778;266727	geneontology_Biological_Process_noRedundant	GPM6B;MDGA1;LRP4;MICALL2;PLEC
GO:0097242	amyloid-beta clearance	http://amigo.geneontology.org/amigo/term/GO:0097242	37	2	0.0831077578759431	24.065142065142066	0.0031155568455290493	1	1191;4038	geneontology_Biological_Process_noRedundant	CLU;LRP4
GO:0007015	actin filament organization	http://amigo.geneontology.org/amigo/term/GO:0007015	453	5	1.0175084950757358	4.913963887473821	0.00327685732236663	1	961;5339;8826;79778;114822	geneontology_Biological_Process_noRedundant	IQGAP1;RHPN1;MICALL2;PLEC;CD47
