geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0150034	distal axon	http://amigo.geneontology.org/amigo/term/GO:0150034	276	12	1.4783159592236366	8.117344553529687	2.7201043380122248e-8	1.2069102947760242e-4	1996;3897;6855;8851;9256;10814;11075;23046;64780;81551;85300;114787	geneontology_Cellular_Component_noRedundant	TSPOAP1;STMN4;SYP;STMN2;KIF21B;MICAL1;CPLX2;ELAVL4;ATCAY;GPRIN1;CDK5R1;L1CAM
GO:0043025	neuronal cell body	http://amigo.geneontology.org/amigo/term/GO:0043025	487	14	2.6084777976156195	5.36711487933585	3.0228905574266827e-7	6.706282701651095e-4	777;1996;3897;4345;6712;6861;8851;10814;11075;22974;22983;23542;56896;114327	geneontology_Cellular_Component_noRedundant	MAPK8IP2;TPX2;CD200;EFHC1;STMN2;MAST1;SYT5;CPLX2;DPYSL5;ELAVL4;SPTBN2;CDK5R1;CACNA1E;L1CAM
GO:0030427	site of polarized growth	http://amigo.geneontology.org/amigo/term/GO:0030427	172	8	0.9212693658929908	8.683670917729433	3.9218520339094665e-6	0.005800419158152101	1996;3897;8851;11075;23046;81551;85300;114787	geneontology_Cellular_Component_noRedundant	STMN4;STMN2;KIF21B;ELAVL4;ATCAY;GPRIN1;CDK5R1;L1CAM
R-HSA-112316	Neuronal System	http://reactome.org/PathwayBrowser/#/R-HSA-112316	410	11	2.196049069861199	5.00899554156832	1.1945367309150382e-5	0.012707575891934369	217;22843;26960;3785;50944;54331;5567;777;784;8541;9256	pathway_Reactome	TSPOAP1;KCNQ2;ALDH2;PRKACB;SHANK1;CACNB3;NBEA;PPM1E;PPFIA3;GNG2;CACNA1E
R-HSA-112315	Transmission across Chemical Synapses	http://reactome.org/PathwayBrowser/#/R-HSA-112315	270	9	1.4461786557622531	6.2232974910394265	1.432000889332248e-5	0.012707575891934369	217;22843;26960;54331;5567;777;784;8541;9256	pathway_Reactome	TSPOAP1;ALDH2;PRKACB;CACNB3;NBEA;PPM1E;PPFIA3;GNG2;CACNA1E
GO:0099003	vesicle-mediated transport in synapse	http://amigo.geneontology.org/amigo/term/GO:0099003	220	8	1.178367793584058	6.789051808406648	2.36406943354121e-5	0.01748229346103725	6855;6861;8541;8851;10814;27065;112755;140730	geneontology_Biological_Process_noRedundant	STX1B;RIMS4;SYP;SYT5;CPLX2;NSG1;CDK5R1;PPFIA3
GO:0010975	regulation of neuron projection development	http://amigo.geneontology.org/amigo/term/GO:0010975	450	11	2.410297759603755	4.563751493428913	2.826202605810583e-5	0.017914087088545083	1996;3897;5364;8851;11075;56896;57118;57498;80128;112755;221914	geneontology_Biological_Process_noRedundant	STX1B;STMN2;KIDINS220;DPYSL5;ELAVL4;TRIM46;PLXNB1;CDK5R1;CAMK1D;L1CAM;GPC2
GO:0016358	dendrite development	http://amigo.geneontology.org/amigo/term/GO:0016358	232	8	1.2426424005068248	6.437893956247683	3.4547003756220446e-5	0.017928014638084386	1996;8851;23542;50944;56896;57118;57498;57549	geneontology_Biological_Process_noRedundant	MAPK8IP2;IGSF9;KIDINS220;DPYSL5;SHANK1;ELAVL4;CDK5R1;CAMK1D
GO:0015631	tubulin binding	http://amigo.geneontology.org/amigo/term/GO:0015631	381	10	2.040718769797846	4.900234244912935	3.681295355700913e-5	0.017928014638084386	1641;3797;3925;8481;8851;11075;22983;23046;81551;114327	geneontology_Molecular_Function_noRedundant	STMN4;OFD1;DCX;KIF3C;EFHC1;STMN2;MAST1;KIF21B;STMN1;CDK5R1
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	468	11	2.5067096699879055	4.388222589835493	4.0405712504134296e-5	0.017928014638084386	6855;8541;9118;10814;23542;27065;50944;56853;84502;112755;140730	geneontology_Biological_Process_noRedundant	MAPK8IP2;JPH4;STX1B;RIMS4;CELF4;SYP;CPLX2;INA;SHANK1;NSG1;PPFIA3
