geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0009100	glycoprotein metabolic process	http://amigo.geneontology.org/amigo/term/GO:0009100	367	6	0.803202211599378	7.4700989531048325	1.3339740646177103e-4	0.5186938892325486	2720;4248;5589;23385;79158;84892	geneontology_Biological_Process_noRedundant	GNPTAB;MGAT3;PRKCSH;POMGNT2;NCSTN;GLB1
GO:0098978	glutamatergic synapse	http://amigo.geneontology.org/amigo/term/GO:0098978	407	6	0.8907446869780568	6.735936893831631	2.3380387163964326e-4	0.5186938892325486	1612;5532;5789;23284;27445;54477	geneontology_Cellular_Component_noRedundant	PLEKHA5;PPP3CB;ADGRL3;PTPRD;PCLO;DAPK1
GO:0005766	primary lysosome	http://amigo.geneontology.org/amigo/term/GO:0005766	155	4	0.33922709209238033	11.79151103565365	3.560362890197398e-4	0.5265776714601952	2512;2720;10493;23385	geneontology_Cellular_Component_noRedundant	FTL;VAT1;NCSTN;GLB1
GO:0098984	neuron to neuron synapse	http://amigo.geneontology.org/amigo/term/GO:0098984	359	5	0.7856937165236423	6.3638029614426035	0.0010526445505887958	1	575;1612;5789;27445;54477	geneontology_Cellular_Component_noRedundant	PLEKHA5;PTPRD;ADGRB1;PCLO;DAPK1
GO:0007033	vacuole organization	http://amigo.geneontology.org/amigo/term/GO:0007033	232	4	0.507746357196337	7.877949183303087	0.0016052241146879889	1	537;5532;58476;79158	geneontology_Biological_Process_noRedundant	ATP6AP1;TP53INP2;PPP3CB;GNPTAB
GO:0005776	autophagosome	http://amigo.geneontology.org/amigo/term/GO:0005776	117	3	0.25606174048263547	11.715924426450743	0.0021183614838916993	1	2512;4646;58476	geneontology_Cellular_Component_noRedundant	TP53INP2;FTL;MYO6
hsa04142	Lysosome	http://www.kegg.jp/kegg-bin/show_pathway?hsa04142+2720+537+79158	132	3	0.28889016874964	10.384569377990431	0.002983035652843139	1	2720;537;79158	pathway_KEGG	ATP6AP1;GNPTAB;GLB1
R-HSA-6798695	Neutrophil degranulation	http://reactome.org/PathwayBrowser/#/R-HSA-6798695	480	5	1.0505097045441456	4.759594298245614	0.0037393331065062848	1	10493;23385;2512;2720;9522	pathway_Reactome	SCAMP1;FTL;VAT1;NCSTN;GLB1
GO:0030135	coated vesicle	http://amigo.geneontology.org/amigo/term/GO:0030135	314	4	0.6872084317226286	5.820650351994637	0.004772526516957764	1	537;4646;9522;222068	geneontology_Cellular_Component_noRedundant	ATP6AP1;SCAMP1;TMED4;MYO6
GO:0050435	amyloid-beta metabolic process	http://amigo.geneontology.org/amigo/term/GO:0050435	52	2	0.11380521799228244	17.573886639676115	0.0057724677534445705	1	4248;23385	geneontology_Biological_Process_noRedundant	MGAT3;NCSTN
