geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0001570	vasculogenesis	http://amigo.geneontology.org/amigo/term/GO:0001570	82	8	0.5808903991245753	13.771961134245487	1.1595189335052091e-7	5.144785507962613e-4	677;3696;4851;8463;8829;8879;9444;23462	geneontology_Biological_Process_noRedundant	TEAD2;NRP1;ITGB8;QKI;NOTCH1;HEY1;SGPL1;ZFP36L1
R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-5663202	433	13	3.067384668548062	4.238138155053606	1.2302204381011727e-5	0.027292440419274516	10197;10213;1452;23462;2534;4851;5702;7170;801;8503;9208;9444;9759	pathway_Reactome	FYN;HDAC4;QKI;CSNK1A1;PSMD14;PIK3R3;LRRFIP1;PSME3;TPM3;NOTCH1;HEY1;PSMC3;CALM1
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	http://reactome.org/PathwayBrowser/#/R-HSA-2122947	48	5	0.34003340436560503	14.704437669376693	2.206241426858783e-5	0.032630310703241405	23462;3091;4851;7089;9759	pathway_Reactome	TLE2;HDAC4;HIF1A;NOTCH1;HEY1
R-HSA-5632684	Hedgehog 'on' state	http://reactome.org/PathwayBrowser/#/R-HSA-5632684	85	6	0.6021424868974256	9.96441893830703	3.09666377827742e-5	0.03434974296054228	10197;10213;1452;23288;5702;5727	pathway_Reactome	IQCE;CSNK1A1;PSMD14;PSME3;PSMC3;PTCH1
R-HSA-8878159	Transcriptional regulation by RUNX3	http://reactome.org/PathwayBrowser/#/R-HSA-8878159	96	6	0.6800668087312101	8.822662601626016	6.161158326941095e-5	0.04372535460496965	10197;10213;4851;5702;8463;9759	pathway_Reactome	HDAC4;TEAD2;PSMD14;PSME3;NOTCH1;PSMC3
R-HSA-6807070	PTEN Regulation	http://reactome.org/PathwayBrowser/#/R-HSA-6807070	140	7	0.991764096066348	7.058130081300813	6.216780030517835e-5	0.04372535460496965	10197;10213;1386;5702;58528;648;8535	pathway_Reactome	RRAGD;PSMD14;ATF2;PSME3;CBX4;PSMC3;BMI1
R-HSA-9006925	Intracellular signaling by second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-9006925	310	10	2.196049069861199	4.553632310516654	7.20492748366421e-5	0.04372535460496965	10197;10213;1386;2534;5702;58528;648;801;8503;8535	pathway_Reactome	FYN;RRAGD;PSMD14;ATF2;PIK3R3;PSME3;CBX4;PSMC3;BMI1;CALM1
R-HSA-5358351	Signaling by Hedgehog	http://reactome.org/PathwayBrowser/#/R-HSA-5358351	149	7	1.055520359384899	6.631800076390025	9.210090753419694e-5	0.04372535460496965	10197;10213;1452;23288;5702;5727;84617	pathway_Reactome	IQCE;CSNK1A1;PSMD14;PSME3;PSMC3;TUBB6;PTCH1
GO:0051960	regulation of nervous system development	http://amigo.geneontology.org/amigo/term/GO:0051960	457	12	3.2374013707308644	3.7066766291295297	9.813925716688387e-5	0.04372535460496965	2048;3091;3981;4851;5803;5925;8829;9444;10810;23462;26022;58190	geneontology_Biological_Process_noRedundant	TMEM98;NRP1;HIF1A;PTPRZ1;QKI;WASF3;EPHB2;RB1;CTDSP1;NOTCH1;HEY1;LIG4
GO:0042692	muscle cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0042692	394	11	2.791107527501008	3.941087862655276	1.133500626558464e-4	0.04372535460496965	1466;3192;4851;5925;6648;6935;9444;9759;23250;23462;27250	geneontology_Biological_Process_noRedundant	HDAC4;ATP11A;QKI;RB1;NOTCH1;ZEB1;PDCD4;HNRNPU;HEY1;CSRP2;SOD2
