geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0001503	ossification	http://amigo.geneontology.org/amigo/term/GO:0001503	415	17	2.2228301560790187	7.647907760072548	6.404572260751431e-11	2.84170871209541e-7	1009;1277;1969;2201;2719;3572;4054;4323;6238;6256;6662;9902;22856;25937;51430;55366;84059	geneontology_Biological_Process_noRedundant	MRC2;WWTR1;SUCO;COL1A1;SOX9;RRBP1;CHSY1;IL6ST;FBN2;CDH11;EPHA2;GPC3;MMP14;ADGRV1;LTBP3;RXRA;LGR4
R-HSA-1474244	Extracellular matrix organization	http://reactome.org/PathwayBrowser/#/R-HSA-1474244	300	11	1.60686517306917	6.845627240143369	5.913384141589163e-7	0.0013118842718115558	1277;2201;30008;3685;3688;3911;4054;4323;5654;831;960	pathway_Reactome	CD44;COL1A1;LAMA5;ITGAV;FBN2;ITGB1;MMP14;HTRA1;LTBP3;EFEMP2;CAST
R-HSA-2129379	Molecules associated with elastic fibres	http://reactome.org/PathwayBrowser/#/R-HSA-2129379	37	5	0.19818003801186432	25.22958442313281	1.5055117645137142e-6	0.0022266518997157833	2201;30008;3685;3688;4054	pathway_Reactome	ITGAV;FBN2;ITGB1;LTBP3;EFEMP2
R-HSA-1566948	Elastic fibre formation	http://reactome.org/PathwayBrowser/#/R-HSA-1566948	44	5	0.23567355871681162	21.21578690127077	3.6416317288482013e-6	0.0023231543338848174	2201;30008;3685;3688;4054	pathway_Reactome	ITGAV;FBN2;ITGB1;LTBP3;EFEMP2
WP4541	Hippo Merlin signaling dysregulation	http://pathway-viewer.toolforge.org/embed/WP4541?steelblue=WWTR1,CD44,ITGAV,CDH11,EPHA2,VGLL4,ITGB1	120	7	0.6427460692276681	10.890770609318995	3.6604304012504056e-6	0.0023231543338848174	1009;3685;3688;25937;1969;960;9686	pathway_WikiPathways	WWTR1;CD44;ITGAV;CDH11;EPHA2;VGLL4;ITGB1
GO:0048705	skeletal system morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048705	228	9	1.2212175315325693	7.369694397283531	3.6632500311940487e-6	0.0023231543338848174	1277;2201;3911;4054;4323;6662;22856;25976;84159	geneontology_Biological_Process_noRedundant	COL1A1;SOX9;LAMA5;CHSY1;FBN2;ARID5B;MMP14;TIPARP;LTBP3
WP5087	Pleural mesothelioma	http://pathway-viewer.toolforge.org/embed/WP5087?steelblue=WWTR1,CD44,STAT1,LAMA5,ITGAV,CDH11,EPHA2,VGLL4,ITGB1,MMP14,EFNA5,STK38L	437	12	2.3406669354374245	5.126743928545065	3.6651071303118594e-6	0.0023231543338848174	3688;9686;960;6772;25937;4323;3911;3685;1009;1969;1946;23012	pathway_WikiPathways	WWTR1;CD44;STAT1;LAMA5;ITGAV;CDH11;EPHA2;VGLL4;ITGB1;MMP14;EFNA5;STK38L
GO:0031214	biomineral tissue development	http://amigo.geneontology.org/amigo/term/GO:0031214	178	8	0.9534066693543742	8.390962909266642	5.055003389944113e-6	0.0028036312551477536	1277;2201;2719;4054;6256;6662;55366;84059	geneontology_Biological_Process_noRedundant	COL1A1;SOX9;FBN2;GPC3;ADGRV1;LTBP3;RXRA;LGR4
R-HSA-1474228	Degradation of the extracellular matrix	http://reactome.org/PathwayBrowser/#/R-HSA-1474228	140	7	0.7498704140989461	9.334946236559139	1.0133434308320033e-5	0.004995783114001776	1277;2201;3911;4323;5654;831;960	pathway_Reactome	CD44;COL1A1;LAMA5;FBN2;MMP14;HTRA1;CAST
GO:0002009	morphogenesis of an epithelium	http://amigo.geneontology.org/amigo/term/GO:0002009	499	12	2.6727524045383864	4.4897537009502875	1.4004699908451568e-5	0.0062138853493799604	960;1969;2719;3685;3688;3911;4323;6662;6772;55081;55366;79600	geneontology_Biological_Process_noRedundant	CD44;IFT57;STAT1;SOX9;LAMA5;ITGAV;EPHA2;GPC3;ITGB1;MMP14;TCTN1;LGR4
