geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0099003	vesicle-mediated transport in synapse	http://amigo.geneontology.org/amigo/term/GO:0099003	220	10	0.7222254218741001	13.84609250398724	2.2320012624798023e-09	7.617574861899709e-6	273;1759;5864;5865;6616;6812;8927;9066;9783;9900	geneontology_Biological_Process_noRedundant	SYT7;AMPH;RAB3A;DNM1;RIMS3;SNAP25;STXBP1;SV2A;BSN;RAB3B
GO:0097060	synaptic membrane	http://amigo.geneontology.org/amigo/term/GO:0097060	394	12	1.2934400737199792	9.27758482500668	4.4427008492977115e-9	7.617574861899709e-6	107;1272;1630;1759;2891;5818;6616;6812;9066;9378;9379;9783	geneontology_Cellular_Component_noRedundant	SYT7;CNTN1;DNM1;NRXN2;NECTIN1;RIMS3;GRIA2;SNAP25;STXBP1;ADCY1;NRXN1;DCC
GO:0048786	presynaptic active zone	http://amigo.geneontology.org/amigo/term/GO:0048786	76	7	0.2494960548292346	28.056555863342567	5.1504901027043335e-9	7.617574861899709e-6	5818;5864;6616;6812;8927;9783;9900	geneontology_Cellular_Component_noRedundant	RAB3A;NECTIN1;RIMS3;SNAP25;STXBP1;SV2A;BSN
GO:0006836	neurotransmitter transport	http://amigo.geneontology.org/amigo/term/GO:0006836	205	9	0.6729827794735933	13.373299101412066	2.0610250077623136e-8	2.2861919898603465e-5	5864;5865;6616;6812;9066;9378;9379;9783;9900	geneontology_Biological_Process_noRedundant	SYT7;RAB3A;NRXN2;RIMS3;SNAP25;STXBP1;SV2A;RAB3B;NRXN1
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	468	12	1.536370442895813	7.810616284300495	3.006647208139844e-8	2.6680987325032975e-5	107;1630;1759;2891;5864;6616;6812;9066;9254;9378;9783;23732	geneontology_Biological_Process_noRedundant	CACNA2D2;SYT7;RAB3A;DNM1;RIMS3;GRIA2;SNAP25;STXBP1;ADCY1;NRXN1;DCC;FRRS1L
GO:0050808	synapse organization	http://amigo.geneontology.org/amigo/term/GO:0050808	478	12	1.5691988711628175	7.647214269984585	3.7929356173784786e-8	2.804875889051385e-5	782;1496;1501;5818;5864;6616;8927;9254;9378;9379;23732;26470	geneontology_Biological_Process_noRedundant	CACNA2D2;CTNNA2;CACNB1;RAB3A;NRXN2;NECTIN1;SNAP25;BSN;CTNND2;SEZ6L2;NRXN1;FRRS1L
GO:0007409	axonogenesis	http://amigo.geneontology.org/amigo/term/GO:0007409	452	11	1.4838449576686057	7.413173420276355	2.0661963048902194e-7	1.3096732863997006e-4	107;1272;1496;1630;5818;5864;6616;6812;9378;10500;23114	geneontology_Biological_Process_noRedundant	CNTN1;CTNNA2;RAB3A;NECTIN1;SNAP25;STXBP1;SEMA6C;NFASC;ADCY1;NRXN1;DCC
R-HSA-112316	Neuronal System	http://reactome.org/PathwayBrowser/#/R-HSA-112316	410	10	1.3459655589471866	7.429610611895592	7.745745711554674e-7	4.2959842152710115e-4	107;2891;5864;6616;6812;782;9066;9254;9378;9379	pathway_Reactome	CACNA2D2;SYT7;CACNB1;RAB3A;NRXN2;GRIA2;SNAP25;STXBP1;ADCY1;NRXN1
GO:1902414	protein localization to cell junction	http://amigo.geneontology.org/amigo/term/GO:1902414	107	6	0.3512641824569487	17.081160846040333	1.337053986019982e-6	6.591676151078512e-4	5818;6616;8927;9378;9379;10082	geneontology_Biological_Process_noRedundant	NRXN2;NECTIN1;SNAP25;BSN;NRXN1;GPC6
GO:0006887	exocytosis	http://amigo.geneontology.org/amigo/term/GO:0006887	349	9	1.1457121465184588	7.855376263007088	1.857653838113598e-6	8.242410079710034e-4	5864;5865;6616;6812;9066;9783;9900;57586;115827	geneontology_Biological_Process_noRedundant	SYT7;SYT13;RAB3A;RIMS3;SNAP25;STXBP1;RAB3C;SV2A;RAB3B
