geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0007409	axonogenesis	http://amigo.geneontology.org/amigo/term/GO:0007409	452	34	10.725335483499395	3.170064008935476	3.164554243213934e-9	1.4041127177140225e-5	60;575;673;1000;1009;1123;1605;1889;1946;1982;3800;3913;3996;4854;5362;5532;5881;6868;7080;7204;8828;9706;10439;10857;23654;26050;51199;54910;55701;55740;57611;64221;79600;219699	geneontology_Biological_Process_noRedundant	TRIO;NOTCH3;ACTB;PLXNA2;ULK2;NIN;PGRMC1;UNC5B;PPP3CB;EIF4G2;ECE1;NRP2;CHN1;OLFM1;LLGL1;NKX2-1;CDH11;ADAM17;ROBO3;ENAH;BRAF;SLITRK5;ARHGEF40;ISLR2;KIF5C;SEMA4C;RAC3;CDH2;LAMB2;DAG1;ADGRB1;EFNA5;PLXNB2;TCTN1
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	http://reactome.org/PathwayBrowser/#/R-HSA-9006934	526	35	12.481253239647526	2.804205581601388	4.19650028111373e-8	6.452789448358009e-5	10608;1277;143282;1495;1793;1846;2261;2549;2889;3091;3398;3685;3911;3913;4254;528;53834;5516;5600;57761;60;6016;6300;673;6772;6774;6777;6868;7529;801;8503;8660;8828;8936;9550	pathway_Reactome	CTNNA1;KITLG;FGFR3;ACTB;HIF1A;TRIB3;PPP2CB;RAPGEF1;COL1A1;GAB1;WASF1;STAT1;ID2;PIK3R3;NRP2;DUSP4;MXD4;FGFRL1;LAMA5;ATP6V1G1;ITGAV;RIT1;DOCK1;ADAM17;ATP6V1C1;BRAF;YWHAB;STAT3;LAMB2;STAT5B;FGFBP3;MAPK11;IRS2;MAPK12;CALM1
GO:0050808	synapse organization	http://amigo.geneontology.org/amigo/term/GO:0050808	478	33	11.342279559983874	2.9094680505341834	4.362940803487498e-8	6.452789448358009e-5	60;119;575;831;1000;1605;1946;2149;2890;3371;3911;3913;5064;5621;5783;5881;6386;6529;8541;8828;8936;9215;9762;9806;10857;23654;23657;26050;27067;28988;54434;57502;64101	geneontology_Biological_Process_noRedundant	STAU2;TNC;ADD2;ACTB;SSH1;LZTS3;PALM;PGRMC1;SPOCK2;WASF1;NRP2;LRRC4;LAMA5;LARGE1;DBNL;SDCBP;NLGN4X;SLC7A11;GRIA1;SLC6A1;PTPN13;SLITRK5;RAC3;CDH2;PRNP;LAMB2;DAG1;PPFIA3;F2R;ADGRB1;EFNA5;PLXNB2;CAST
GO:0003779	actin binding	http://amigo.geneontology.org/amigo/term/GO:0003779	431	30	10.227034498646548	2.933401662424256	1.532614517442046e-7	1.7000526534725896e-4	27;119;274;309;1495;1605;2317;2318;3192;4641;4651;5339;8936;9168;11034;23002;23307;27295;28988;29085;29766;51088;54434;55740;57619;64423;65108;65979;80774;85464	geneontology_Molecular_Function_noRedundant	TMSB10;CTNNA1;PHPT1;ADD2;SSH1;DAAM1;KLHL5;WASF1;FKBP15;DSTN;FLNC;FLNB;DBNL;LIMD2;BIN1;TMOD3;SHROOM3;SSH2;ABL2;MYO10;HNRNPU;ENAH;PDLIM3;DAG1;MARCKSL1;PLEC;ANXA6;MYO1C;INF2;PHACTR4
GO:0097485	neuron projection guidance	http://amigo.geneontology.org/amigo/term/GO:0097485	239	20	5.671139779991937	3.526627940041435	1.1602117446805331e-6	0.001029571902229505	1123;1605;1889;1946;3800;3913;4854;5362;5881;6868;7080;7204;8828;10857;23654;54910;55701;55740;64221;219699	geneontology_Biological_Process_noRedundant	TRIO;NOTCH3;PLXNA2;PGRMC1;UNC5B;ECE1;NRP2;CHN1;NKX2-1;ADAM17;ROBO3;ENAH;ARHGEF40;KIF5C;SEMA4C;RAC3;LAMB2;DAG1;EFNA5;PLXNB2
GO:0031252	cell leading edge	http://amigo.geneontology.org/amigo/term/GO:0031252	426	27	10.108391407014917	2.67104813346096	3.872165483142975e-6	0.00286346637478423	60;960;1000;1495;1605;2195;2890;3685;4254;4641;4651;5783;5881;6868;7016;7283;8936;9107;28988;29085;51177;54434;55740;56940;57403;65979;348110	geneontology_Cellular_Component_noRedundant	PLEKHO1;CD44;CTNNA1;KITLG;PHPT1;ACTB;FAT1;SSH1;TESK1;WASF1;DUSP22;RAB22A;TUBG1;DBNL;ITGAV;MTMR6;MYO10;ADAM17;ENAH;GRIA1;PTPN13;RAC3;CDH2;DAG1;MYO1C;PHACTR4;ARPIN
GO:0030055	cell-substrate junction	http://amigo.geneontology.org/amigo/term/GO:0030055	433	27	10.274491735299199	2.627867216753739	5.234522385518953e-6	0.0033179394035067994	60;309;575;960;1000;1495;1605;2195;2261;2317;2318;2535;3371;3685;3696;5339;6386;6522;6868;7529;8754;8936;9902;55740;55827;79026;85464	geneontology_Cellular_Component_noRedundant	MRC2;CD44;TNC;CTNNA1;FGFR3;ACTB;FAT1;ITGB8;WASF1;AHNAK;FLNC;FLNB;SDCBP;ITGAV;SSH2;DCAF6;ADAM17;ENAH;SLC4A2;YWHAB;ADAM9;CDH2;DAG1;PLEC;FZD2;ADGRB1;ANXA6
WP1528	Physiological and pathological hypertrophy of the heart	http://pathway-viewer.toolforge.org/embed/WP1528?steelblue=MYEF2,PPP3CB,IL6ST,STAT3,MAPK11,CALM1	24	6	0.5694868398318264	10.535800970873785	1.611971924815713e-5	0.008940399288009148	50804;5532;5600;6774;3572;801	pathway_WikiPathways	MYEF2;PPP3CB;IL6ST;STAT3;MAPK11;CALM1
GO:0019838	growth factor binding	http://amigo.geneontology.org/amigo/term/GO:0019838	135	13	3.203363474054023	4.058234448040273	1.9942165018157006e-5	0.009436654293171719	93;1277;2261;3488;3572;3685;4054;5654;6386;8425;8828;53834;143282	geneontology_Molecular_Function_noRedundant	FGFR3;LTBP4;COL1A1;ACVR2B;IGFBP5;NRP2;FGFRL1;IL6ST;SDCBP;ITGAV;HTRA1;LTBP3;FGFBP3
GO:0098857	membrane microdomain	http://amigo.geneontology.org/amigo/term/GO:0098857	290	20	6.881299314634568	2.906427854034148	2.126809622080622e-5	0.009436654293171719	119;1000;1200;1495;1605;1946;2149;3572;3920;4641;5538;5621;6281;6386;6868;23213;23673;79026;79180;219699	geneontology_Cellular_Component_noRedundant	LAMP2;CTNNA1;ADD2;UNC5B;STX12;AHNAK;PPT1;IL6ST;SULF1;SDCBP;EFHD2;ADAM17;TPP1;CDH2;PRNP;DAG1;F2R;EFNA5;S100A10;MYO1C
