geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
R-HSA-112316	Neuronal System	http://reactome.org/PathwayBrowser/#/R-HSA-112316	410	18	2.975292288199044	6.049825783972126	9.737309534646204e-10	4.320444240522521e-6	10382;2036;217;22843;2891;3785;4747;50944;54331;5567;6196;777;782;784;7915;9066;9378;9379	pathway_Reactome	SYT7;CACNB1;RPS6KA2;KCNQ2;EPB41L1;TUBB4A;NRXN2;ALDH2;ALDH5A1;GRIA2;PRKACB;SHANK1;CACNB3;PPM1E;NRXN1;GNG2;CACNA1E;NEFL
R-HSA-422475	Axon guidance	http://reactome.org/PathwayBrowser/#/R-HSA-422475	553	20	4.0130161838391984	4.983782542552886	3.016232485474699e-9	6.691511769025619e-6	100133941;10154;10382;116986;1213;1272;1641;2596;3785;3985;4637;5567;55715;55800;56896;6196;6712;782;784;8851	pathway_Reactome	CNTN1;CACNB1;RPS6KA2;KCNQ2;DCX;MYL6;TUBB4A;DOK4;AGAP2;PLXNC1;CLTC;PRKACB;DPYSL5;SCN3B;CACNB3;GAP43;SPTBN2;CDK5R1;LIMK2;CD24
R-HSA-9675108	Nervous system development	http://reactome.org/PathwayBrowser/#/R-HSA-9675108	578	20	4.19443644531475	4.768221013895754	6.387859820982312e-9	9.447644675232839e-6	100133941;10154;10382;116986;1213;1272;1641;2596;3785;3985;4637;5567;55715;55800;56896;6196;6712;782;784;8851	pathway_Reactome	CNTN1;CACNB1;RPS6KA2;KCNQ2;DCX;MYL6;TUBB4A;DOK4;AGAP2;PLXNC1;CLTC;PRKACB;DPYSL5;SCN3B;CACNB3;GAP43;SPTBN2;CDK5R1;LIMK2;CD24
GO:0150034	distal axon	http://amigo.geneontology.org/amigo/term/GO:0150034	276	14	2.002879686690088	6.989935587761675	1.33055492501919e-8	1.3674769165680265e-5	1996;2258;2596;4747;6855;8851;10814;11075;23025;23046;64780;81551;85300;114787	geneontology_Cellular_Component_noRedundant	STMN4;SYP;STMN2;KIF21B;FGF13;UNC13A;MICAL1;CPLX2;ELAVL4;ATCAY;GPRIN1;GAP43;CDK5R1;NEFL
R-HSA-373760	L1CAM interactions	http://reactome.org/PathwayBrowser/#/R-HSA-373760	119	10	0.8635604446236249	11.579965319461119	1.5409926939013145e-8	1.3674769165680265e-5	100133941;10382;1213;1272;1641;2596;3785;55800;6196;6712	pathway_Reactome	CNTN1;RPS6KA2;KCNQ2;DCX;TUBB4A;CLTC;SCN3B;GAP43;SPTBN2;CD24
R-HSA-112315	Transmission across Chemical Synapses	http://reactome.org/PathwayBrowser/#/R-HSA-112315	270	13	1.9593388239359557	6.634891240446796	8.329609486302084e-8	5.4558001394817674e-5	10382;2036;217;22843;2891;4747;54331;5567;6196;777;782;784;7915	pathway_Reactome	CACNB1;RPS6KA2;EPB41L1;TUBB4A;ALDH2;ALDH5A1;GRIA2;PRKACB;CACNB3;PPM1E;GNG2;CACNA1E;NEFL
GO:0043025	neuronal cell body	http://amigo.geneontology.org/amigo/term/GO:0043025	487	17	3.5340666935437426	4.810322349336722	8.607302451289694e-8	5.4558001394817674e-5	777;1996;2596;2891;4345;6712;6861;8851;9378;10382;10814;11075;22974;22983;23542;56896;84249	geneontology_Cellular_Component_noRedundant	MAPK8IP2;TPX2;CD200;STMN2;TUBB4A;MAST1;GRIA2;SYT5;CPLX2;PSD2;DPYSL5;ELAVL4;GAP43;SPTBN2;CDK5R1;NRXN1;CACNA1E
GO:0010639	negative regulation of organelle organization	http://amigo.geneontology.org/amigo/term/GO:0010639	353	14	2.5616540920347868	5.465218759836323	2.8105934795280716e-7	1.3912440382901305e-4	291;2039;2258;3925;3985;6196;6712;10382;11013;11075;11078;22974;50810;50944	geneontology_Biological_Process_noRedundant	RPS6KA2;TPX2;TRIOBP;STMN2;TUBB4A;STMN1;FGF13;SLC25A4;TMSB15A;DMTN;SHANK1;HDGFL3;SPTBN2;LIMK2
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	468	16	3.3961872948223233	4.711165377832044	2.821996020872476e-7	1.3912440382901305e-4	2891;4747;6855;7532;7533;9066;9118;9378;10814;23025;23542;27065;50944;56853;84502;112755	geneontology_Biological_Process_noRedundant	MAPK8IP2;SYT7;JPH4;STX1B;CELF4;SYP;GRIA2;YWHAH;UNC13A;CPLX2;INA;SHANK1;NSG1;YWHAG;NRXN1;NEFL
GO:0030427	site of polarized growth	http://amigo.geneontology.org/amigo/term/GO:0030427	172	10	1.248171398951794	8.011720191952751	5.015959982977203e-7	2.225581444446985e-4	1996;2258;2596;4747;8851;11075;23046;81551;85300;114787	geneontology_Cellular_Component_noRedundant	STMN4;STMN2;KIF21B;FGF13;ELAVL4;ATCAY;GPRIN1;GAP43;CDK5R1;NEFL
