geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
WP5397	Vitamin A1 and A5 X pathways	http://pathway-viewer.toolforge.org/embed/WP5397?steelblue=RARA,RXRA	6	2	0.013822496112422969	144.69166666666666	7.717117523462395e-5	0.3424085045160265	6256;5914	pathway_WikiPathways	RARA;RXRA
WP5130	Th17 cell differentiation pathway	http://pathway-viewer.toolforge.org/embed/WP5130?steelblue=IFNGR1,RARA,RXRA	69	3	0.15895870529286413	18.872826086956522	5.341062088978981e-4	0.8578654153872166	6256;5914;3459	pathway_WikiPathways	IFNGR1;RARA;RXRA
GO:0032153	cell division site	http://amigo.geneontology.org/amigo/term/GO:0032153	73	3	0.16817370270114612	17.838698630136985	6.300009119625365e-4	0.8578654153872166	388;5586;56907	geneontology_Cellular_Component_noRedundant	PKN2;SPIRE1;RHOB
GO:0009791	post-embryonic development	http://amigo.geneontology.org/amigo/term/GO:0009791	87	3	0.20042619363013303	14.968103448275864	0.0010499873689774578	0.8578654153872166	3636;57003;84159	geneontology_Biological_Process_noRedundant	CCDC47;ARID5B;INPPL1
R-HSA-5625740	RHO GTPases activate PKNs	http://reactome.org/PathwayBrowser/#/R-HSA-5625740	94	3	0.21655243909462651	13.85345744680851	0.0013131350833636164	0.8578654153872166	388;5170;5586	pathway_Reactome	PKN2;PDPK1;RHOB
R-HSA-1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	http://reactome.org/PathwayBrowser/#/R-HSA-1368108	27	2	0.062201232505903356	32.153703703703705	0.001751375015091652	0.8578654153872166	10135;6256	pathway_Reactome	NAMPT;RXRA
GO:0032526	response to retinoic acid	http://amigo.geneontology.org/amigo/term/GO:0032526	105	3	0.24189368196740194	12.402142857142858	0.0018045740375439417	0.8578654153872166	5754;5914;6256	geneontology_Biological_Process_noRedundant	PTK7;RARA;RXRA
GO:0048705	skeletal system morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048705	228	4	0.5252548522720728	7.6153508771929825	0.0018268484974926316	0.8578654153872166	3636;5914;6259;84159	geneontology_Biological_Process_noRedundant	RARA;ARID5B;RYK;INPPL1
hsa04659	Th17 cell differentiation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04659+3459+5914+6256	108	3	0.24880493002361342	12.057638888888889	0.0019559492982020505	0.8578654153872166	3459;5914;6256	pathway_KEGG	IFNGR1;RARA;RXRA
R-HSA-4090294	SUMOylation of intracellular receptors	http://reactome.org/PathwayBrowser/#/R-HSA-4090294	30	2	0.06911248056211484	28.938333333333333	0.0021610543111724306	0.8578654153872166	5914;6256	pathway_Reactome	RARA;RXRA
