geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0003158	endothelium development	http://amigo.geneontology.org/amigo/term/GO:0003158	137	6	0.4024074180729137	14.910261914984972	2.908425524778797e-6	0.012904684053443522	694;4851;5962;8829;10630;55810	geneontology_Biological_Process_noRedundant	FOXJ2;NRP1;BTG1;RDX;NOTCH1;PDPN
GO:0007264	small GTPase mediated signal transduction	http://amigo.geneontology.org/amigo/term/GO:0007264	493	8	1.4480792489777112	5.524559519548184	8.685059874044954e-5	0.1926780533056873	1452;2909;4851;5962;8829;10630;23580;27314	geneontology_Biological_Process_noRedundant	NRP1;CSNK1A1;RAB30;RDX;NOTCH1;ARHGAP35;PDPN;CDC42EP4
GO:0048732	gland development	http://amigo.geneontology.org/amigo/term/GO:0048732	450	7	1.3217761907504464	5.295904139433551	3.2389738149233134e-4	0.37042374857414295	2909;4851;5727;6648;8829;9612;10116	geneontology_Biological_Process_noRedundant	NRP1;NOTCH1;ARHGAP35;FEM1B;PTCH1;NCOR2;SOD2
GO:0072593	reactive oxygen species metabolic process	http://amigo.geneontology.org/amigo/term/GO:0072593	227	5	0.6667626562230029	7.498920272954997	5.261792091167677e-4	0.37042374857414295	2534;6648;9644;54541;285590	geneontology_Biological_Process_noRedundant	FYN;SH3PXD2A;DDIT4;SH3PXD2B;SOD2
WP5199	PtdIns 4 5 P2 in cytokinesis pathway	http://pathway-viewer.toolforge.org/embed/WP5199?steelblue=RDX,SEPTIN2	12	2	0.03524736508667857	56.74183006535948	5.478822977755244e-4	0.37042374857414295	4735;5962	pathway_WikiPathways	RDX;SEPTIN2
GO:0097485	neuron projection guidance	http://amigo.geneontology.org/amigo/term/GO:0097485	239	5	0.7020100213096815	7.122405447534662	6.644983933990964e-4	0.37042374857414295	2534;2909;4851;5727;8829	geneontology_Biological_Process_noRedundant	FYN;NRP1;NOTCH1;ARHGAP35;PTCH1
GO:0022604	regulation of cell morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0022604	243	5	0.713759143005241	7.005164205599936	7.161682196211855e-4	0.37042374857414295	2534;2909;5962;10630;23580	geneontology_Biological_Process_noRedundant	FYN;RDX;ARHGAP35;PDPN;CDC42EP4
R-HSA-399955	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	http://reactome.org/PathwayBrowser/#/R-HSA-399955	14	2	0.041121925934458334	48.63585434173669	7.525791091357095e-4	0.37042374857414295	2534;8829	pathway_Reactome	FYN;NRP1
R-HSA-373755	Semaphorin interactions	http://reactome.org/PathwayBrowser/#/R-HSA-373755	65	3	0.19092322755284225	15.713122171945702	9.172437560313526e-4	0.37042374857414295	2534;2909;8829	pathway_Reactome	FYN;NRP1;ARHGAP35
R-HSA-399956	CRMPs in Sema3A signaling	http://reactome.org/PathwayBrowser/#/R-HSA-399956	16	2	0.04699648678223809	42.556372549019606	9.886898615309766e-4	0.37042374857414295	2534;8829	pathway_Reactome	FYN;NRP1
